sensors:	temp	motion	door	keychain
1553474271118	MOTION	Detected	 	
1553474271118	BULB	ON	 	
1553474272118	MOTION	Detected	 	
1553474273118	MOTION	Detected	 	
1553474274118	MOTION	Detected	 	
1553474275119	DOOR	Open	User left the house.	
1553474276119	MOTION	Detected	User entered the house.	
1553474276121	BULB	OFF	 	
1553474276122	DOOR	Closed	 	
1553474280004	OUTLET	OFF	 	
1553474284124	KEY	Authenticated	 	
1553474284125	DOOR	Open	 	
1553474285125	BULB	ON	 	
1553474285127	DOOR	Closed	 	
1553474286128	MOTION	Detected	User entered the house.	
1553474287128	MOTION	Detected	 	
1553474289128	BULB	OFF	 	
1553474290005	OUTLET	ON	 	
1553474290128	MOTION	Detected	 	
1553474290128	BULB	ON	 	
1553474292128	MOTION	Detected	 	
1553474293128	MOTION	Detected	 	
1553474293128	DOOR	Open	User left the house.	
1553474294130	BULB	OFF	 	
1553474294132	DOOR	Closed	 	
1553474295007	OUTLET	OFF	 	
1553474302135	DOOR	Open	 	
1553474303136	DOOR	Closed	 	
1553474304138	MOTION	Detected	User entered the house.	
1553474305138	MOTION	Detected	 	
1553474310138	MOTION	Detected	 	
1553474311138	DOOR	Open	User left the house.	
1553474312138	MOTION	Detected	User entered the house.	
1553474312140	DOOR	Closed	 	
1553474314141	MOTION	Detected	User entered the house.	
1553474315140	MOTION	Detected	 	
1553474316140	MOTION	Detected	 	
1553474317140	MOTION	Detected	 	
1553474319140	MOTION	Detected	 	
1553474320140	KEY	Authenticated	 	
1553474320142	DOOR	Open	User left the house.	
1553474321144	BULB	ON	 	
1553474321145	DOOR	Closed	 	
1553474322146	MOTION	Detected	User entered the house.	
1553474323147	MOTION	Detected	 	
1553474324147	MOTION	Detected	 	
1553474326148	MOTION	Detected	 	
1553474326147	BULB	OFF	 	
1553474326148	BULB	ON	 	
1553474328148	MOTION	Detected	 	
1553474329148	MOTION	Detected	 	
1553474330015	OUTLET	ON	 	
1553474331148	MOTION	Detected	 	
1553474333148	MOTION	Detected	 	
1553474334148	MOTION	Detected	 	
1553474336147	BULB	OFF	 	
1553474337147	MOTION	Detected	 	
1553474337147	BULB	ON	 	
1553474338147	MOTION	Detected	 	
1553474340147	MOTION	Detected	 	
1553474342147	BULB	OFF	 	
1553474345019	OUTLET	OFF	 	
1553474345148	DOOR	Open	User left the house.	
1553474346148	MOTION	Detected	User entered the house.	
1553474346147	BULB	ON	 	
1553474346149	BULB	OFF	 	
1553474346151	DOOR	Closed	 	
1553474354153	DOOR	Open	 	
1553474355154	DOOR	Closed	 	
1553474356156	MOTION	Detected	User entered the house.	
1553474357156	MOTION	Detected	 	
1553474359156	MOTION	Detected	 	
1553474361156	MOTION	Detected	 	
1553474362156	MOTION	Detected	 	
1553474363156	DOOR	Open	User left the house.	
1553474363156	MOTION	Detected	User entered the house.	
1553474364156	MOTION	Detected	 	
1553474364158	DOOR	Closed	 	
1553474365161	MOTION	Detected	User entered the house.	
1553474366161	MOTION	Detected	 	
1553474369161	MOTION	Detected	 	
1553474370161	MOTION	Detected	 	
1553474371161	MOTION	Detected	 	
1553474372160	DOOR	Open	User left the house.	
1553474373161	MOTION	Detected	User entered the house.	
1553474373162	DOOR	Closed	 	
1553474374164	MOTION	Detected	User entered the house.	
1553474376163	MOTION	Detected	 	
1553474377163	MOTION	Detected	 	
1553474378163	MOTION	Detected	 	
1553474380163	MOTION	Detected	 	
1553474381163	KEY	Authenticated	 	
1553474381164	DOOR	Open	User left the house.	
1553474382163	MOTION	Detected	User entered the house.	
1553474382166	BULB	ON	 	
1553474382168	DOOR	Closed	 	
1553474384168	BULB	OFF	 	
1553474384169	MOTION	Detected	User entered the house.	
1553474384170	BULB	ON	 	
1553474385027	OUTLET	ON	 	
1553474385169	MOTION	Detected	 	
1553474386169	MOTION	Detected	 	
1553474388169	BULB	OFF	 	
1553474389169	MOTION	Detected	 	
1553474389169	BULB	ON	 	
1553474390169	DOOR	Open	User left the house.	
1553474391170	BULB	OFF	 	
1553474391171	BULB	OFF	 	
1553474391173	DOOR	Closed	 	
1553474395029	OUTLET	OFF	 	
1553474399176	KEY	Authenticated	 	
1553474399177	DOOR	Open	 	
1553474400179	BULB	ON	 	
1553474400180	DOOR	Closed	 	
1553474402181	BULB	OFF	 	
1553474402182	MOTION	Detected	User entered the house.	
1553474402182	BULB	ON	 	
1553474403182	MOTION	Detected	 	
1553474405034	OUTLET	ON	 	
1553474405182	MOTION	Detected	 	
1553474406182	MOTION	Detected	 	
1553474408182	DOOR	Open	User left the house.	
1553474408181	BULB	OFF	 	
1553474409182	MOTION	Detected	User entered the house.	
1553474409181	BULB	ON	 	
1553474409183	BULB	OFF	 	
1553474409186	DOOR	Closed	 	
1553474410035	OUTLET	OFF	 	
1553474417186	DOOR	Open	 	
1553474418188	DOOR	Closed	 	
1553474421190	MOTION	Detected	User entered the house.	
1553474422190	MOTION	Detected	 	
1553474423190	MOTION	Detected	 	
1553474426191	KEY	Authenticated	 	
1553474426191	MOTION	Detected	 	
1553474426192	DOOR	Open	User left the house.	
1553474427193	BULB	ON	 	
1553474427196	DOOR	Closed	 	
1553474428197	MOTION	Detected	User entered the house.	
1553474429197	MOTION	Detected	 	
1553474431197	MOTION	Detected	 	
1553474433197	BULB	OFF	 	
1553474434197	MOTION	Detected	 	
1553474434197	BULB	ON	 	
1553474435197	MOTION	Detected	 	
1553474437196	MOTION	Detected	 	
1553474438197	MOTION	Detected	 	
1553474440197	BULB	OFF	 	
1553474441197	MOTION	Detected	 	
1553474441197	BULB	ON	 	
1553474442196	MOTION	Detected	 	
1553474443197	DOOR	Open	User left the house.	
1553474444197	MOTION	Detected	User entered the house.	
1553474444199	BULB	OFF	 	
1553474444200	DOOR	Closed	 	
1553474452202	DOOR	Open	 	
1553474453204	DOOR	Closed	 	
1553474454205	MOTION	Detected	User entered the house.	
1553474455206	MOTION	Detected	 	
1553474456207	MOTION	Detected	 	
1553474457207	MOTION	Detected	 	
1553474458206	MOTION	Detected	 	
1553474459206	MOTION	Detected	 	
1553474462206	MOTION	Detected	 	
1553474463207	MOTION	Detected	 	
1553474465206	MOTION	Detected	 	
1553474467206	MOTION	Detected	 	
1553474468206	MOTION	Detected	 	
1553474469206	DOOR	Open	User left the house.	
1553474469207	MOTION	Detected	User entered the house.	
1553474470206	MOTION	Detected	 	
1553474470209	DOOR	Closed	 	
1553474471211	MOTION	Detected	User entered the house.	
1553474474211	MOTION	Detected	 	
1553474475210	MOTION	Detected	 	
1553474482210	MOTION	Detected	 	
1553474483210	MOTION	Detected	 	
1553474484210	MOTION	Detected	 	
1553474486210	MOTION	Detected	 	
1553474488210	MOTION	Detected	 	
1553474489210	MOTION	Detected	 	
1553474490210	MOTION	Detected	 	
1553474491210	MOTION	Detected	 	
1553474496270	BULB	ON	 	
